school,monday,tuesday,wednesday,thursday,friday
Thomas Jefferson Elementary Middle School,02:00-04:45,,,,
Cherry Hill Elementary Middle School,03:00-05:00,,,,
Federal Hill Prep,03:00-05:05,,,,
Baltimore International Academy East,,01:00-02:45,,,
Hampstead Hill Academy,,02:10-04:30,,,
Mercy HS,,02:45-04:30,,,
Lakeland Elementary/ Middle School,,03:15-05:40,,,
Westport Academy,,03:30-05:45,,,
Mervo HS ,,,09:30-11:45,,
Baltimore Polytechnic Institute,,,09:30-11:45,,
Western HS,,,02:30-04:45,,
Hampstead Hill Academy,,,,02:20-04:30,
Coppin Academy,,,,02:30-05:30,
Fort Worthington EMS,,,,02:15-04:15,
Dr. Nathan A. Pitts- Ashburton EMS,,,,02:15-04:30,
Reginald F. Lewis HS,,,,02:30-04:30,
Maree G. Farring EMS,,,,02:30-04:30,
Roland Park EMS,,,,02:30-04:30,
Barclay Elementary/ Middle School,,,,03:15-05:15,
